elapsed,phase,n29_shares,n31_shares,hashrate_khs,difficulty,share_gap_s
21.699199438095093,BASELINE,421,208,2637.817995870251,1.3103521247827238e-06,14401.993562221527
29.251439094543457,BASELINE,422,210,2616.8384840014346,1.3652992183692037e-06,14400.456328868866
36.87038993835449,BASELINE,425,213,2612.040026539047,1.4742622917918273e-06,14400.705305337906
44.488022327423096,BASELINE,433,214,2628.425348696484,1.6567998442765597e-06,14400.77121090889
52.08052635192871,BASELINE,436,217,2612.8857486154834,1.748066156941917e-06,14400.546088218689
60.04574799537659,BASELINE,442,218,2625.380560802351,1.9827591331461663e-06,14400.231904506683
68.68998074531555,BASELINE,452,220,2649.422762944063,2.2332802724887777e-06,14401.52383685112
76.23452043533325,BASELINE,457,223,2639.5996106841067,2.386945930579243e-06,14403.316464185715
83.77927994728088,BASELINE,458,225,2618.726431630417,2.4567959482171683e-06,14400.402309656143
91.7915780544281,BASELINE,464,228,2624.1449512544964,2.646778665608656e-06,14400.284847021103
99.30789756774902,BASELINE,466,230,2610.5998281250563,2.762266698739662e-06,14400.268432855606
106.90186500549316,BASELINE,469,234,2607.384545575712,3.0546943463188463e-06,14400.942408561707
114.37814617156982,BASELINE,474,237,2608.6001383577404,3.3461987980636506e-06,14400.15577673912
141.19305515289307,SPIRAL,489,245,2594.8479491236235,4.207662865171538e-06,14406.267646312714
149.01396250724792,SPIRAL,489,245,2571.150148196219,4.207662865171538e-06,14414.388995409012
157.13543915748596,SPIRAL,489,245,2549.6462929313498,4.207662865171538e-06,14421.905816555023
164.65216207504272,SPIRAL,489,245,2528.2970520552294,4.207662865171538e-06,14429.458809614182
172.20524621009827,SPIRAL,489,245,2507.5333615148043,4.207662865171538e-06,14437.019707202911
179.76615166664124,SPIRAL,489,245,2486.9545278377864,4.207662865171538e-06,14444.516193151474
187.26261281967163,SPIRAL,489,245,2465.589936639141,4.207662865171538e-06,14452.524713754654
195.2710244655609,SPIRAL,489,245,2445.8970884624114,4.207662865171538e-06,14460.068962097168
202.815283536911,SPIRAL,489,245,2426.2501780234998,4.207662865171538e-06,14467.660048246384
210.40635800361633,SPIRAL,490,245,2409.7797368980646,4.2626004015897074e-06,14403.804695129395
218.52286410331726,SPIRAL,490,245,2390.9477390564903,4.2626004015897074e-06,14411.320433616638
226.03866934776306,SPIRAL,490,245,2372.2476658375367,4.2626004015897074e-06,14418.883888244629
233.60202813148499,SPIRAL,490,245,2353.8755913745968,4.2626004015897074e-06,14426.427459478378
